역명,위도,경도,자치구명
연천,38.10073,127.07372,연천군
전곡,38.02458,127.0718,연천군
청산,37.98172,127.06912,연천군
소요산,37.9481,127.061034,동두천시
동두천,37.927878,127.05479,동두천시
보산,37.913702,127.057277,동두천시
동두천중앙,37.901885,127.056482,동두천시
지행,37.892334,127.055716,동두천시
덕정,37.843188,127.061277,양주시
덕계,37.818486,127.056486,양주시
양주,37.774381,127.044708,양주시
녹양,37.75938,127.042292,의정부시
가능,37.748577,127.044213,의정부시
의정부,37.738415,127.045958,의정부시
회룡,37.724416,127.04736,의정부시
망월사,37.709914,127.047455,의정부시
도봉산,37.689534,127.046049,도봉구
도봉,37.679563,127.045595,도봉구
방학,37.667503,127.044273,도봉구
창동,37.653007,127.047806,도봉구
녹천,37.644799,127.051269,도봉구
월계,37.633212,127.058831,노원구
광운대,37.623632,127.061835,노원구
석계,37.614532,127.065934,성북구
신이문,37.601854,127.067325,동대문구
외대앞,37.596073,127.063549,동대문구
회기,37.58946,127.057583,동대문구
청량리,37.580759,127.0483,동대문구
서울,37.554337,126.971134,용산구
시청,37.565715,126.977088,중구
종각,37.570161,126.982923,종로구
종로3가,37.570406,126.991847,종로구
종로5가,37.570926,127.001849,종로구
동대문,37.571687,127.01093,종로구
동묘앞,37.573197,127.01648,종로구
신설동,37.576048,127.024634,동대문구
제기동,37.578103,127.034893,동대문구
남영,37.541021,126.9713,용산구
용산,37.529849,126.964561,용산구
노량진,37.514149,126.94271,동작구
대방,37.513342,126.926382,영등포구
신길,37.516862,126.917865,영등포구
영등포,37.515504,126.907628,영등포구
신도림,37.508787,126.891144,구로구
구로,37.503039,126.881966,구로구
가산디지털단지,37.481581,126.882581,금천구
독산,37.466613,126.889249,금천구
금천구청,37.455626,126.89398,금천구
석수,37.435047,126.902295,안양시 만안구
관악,37.419232,126.908706,안양시 만안구
안양,37.401592,126.922874,안양시 만안구
명학,37.384653,126.935433,안양시 만안구
금정,37.372221,126.943429,군포시
군포,37.35356,126.948462,군포시
당정,37.344285,126.948345,군포시
의왕,37.320852,126.948217,의왕시
성균관대,37.300349,126.97075,수원시 장안구
